order,name,count,price,cost,worth
1.,"Чистая линия скраб, мягкий 50 мл",2.0*154.0,308.0,Стоимость,308.0
2.,"Чистая линия скраб, мягкий 50 мл",1.0*51.0,51.0,Стоимость,51.0
3.,"Чистая линия скраб, мягкий 50 мл",2.0*16.0,32.0,Стоимость,32.0
4.,"Чистая линия скраб, мягкий 50 мл",2.0*60.0,120.0,Стоимость,120.0
5.,"Чистая линия скраб, мягкий 50 мл",1.0*310.0,310.0,Стоимость,310.0
6.,"Чистая линия скраб, мягкий 50 мл",1.0*461.0,461.0,Стоимость,461.0
7.,"Чистая линия скраб, мягкий 50 мл",1.0*381.0,381.0,Стоимость,381.0
8.,"Чистая линия скраб, мягкий 50 мл",1.0*386.0,386.0,Стоимость,386.0
9.,"Чистая линия скраб, мягкий 50 мл",1.0*381.0,381.0,Стоимость,381.0
10.,"Чистая линия скраб, мягкий 50 мл",1.0*414.0,414.0,Стоимость,414.0
11.,"Чистая линия скраб, мягкий 50 мл",1.0*841.0,841.0,Стоимость,841.0
12.,"Чистая линия скраб, мягкий 50 мл",1.0*841.0,841.0,Стоимость,841.0
13.,"Чистая линия скраб, мягкий 50 мл",1.0*1200.0,1200.0,Стоимость,1200.0
14.,"Чистая линия скраб, мягкий 50 мл",1.0*1152.0,1152.0,Стоимость,1152.0
15.,"Чистая линия скраб, мягкий 50 мл",1.0*1152.0,1152.0,Стоимость,1152.0
16.,"Чистая линия скраб, мягкий 50 мл",1.0*168.0,168.0,Стоимость,168.0
17.,"Чистая линия скраб, мягкий 50 мл",1.0*163.0,163.0,Стоимость,163.0
18.,"Чистая линия скраб, мягкий 50 мл",1.0*1526.0,1526.0,Стоимость,1526.0
19.,"Чистая линия скраб, мягкий 50 мл",2.0*396.0,792.0,Стоимость,792.0
20.,"Чистая линия скраб, мягкий 50 мл",1.0*7330.0,7330.0,Стоимость,7330.0
